metric,sn,scan_id,scan_processed_date,mean,median,min,max
Can Inner Diameter (mm),LH1T-40,2319,2024-02-01 21:24:41,20.545,20.54212,20.51602,20.57302
Can Outer Diameter (mm),LH1T-40,2319,2024-02-01 21:24:41,21.007,21.00349,20.97765,21.03711
Can Max Denting (mm),LH1T-40,2319,2024-02-01 21:24:41,0.040,0.03915,0.02832,0.05466
Can Wall Thickness (mm),LH1T-40,2319,2024-02-01 21:24:41,0.231,0.23069,0.22778,0.23388
Can Circularity (Dmin/Dmax) (%),LH1T-40,2319,2024-02-01 21:24:41,99.522,99.50241,99.34898,99.81223
Can Inner Diameter (mm),LH1T-41,2320,2024-02-01 21:33:57,20.544,20.54073,20.51416,20.57410
Can Outer Diameter (mm),LH1T-41,2320,2024-02-01 21:33:57,21.005,21.00293,20.97718,21.03676
Can Max Denting (mm),LH1T-41,2320,2024-02-01 21:33:57,0.040,0.03903,0.02831,0.06069
Can Wall Thickness (mm),LH1T-41,2320,2024-02-01 21:33:57,0.230,0.23065,0.22869,0.23375
Can Circularity (Dmin/Dmax) (%),LH1T-41,2320,2024-02-01 21:33:57,99.553,99.52842,99.38535,99.83773
Can Inner Diameter (mm),LH1T-42,2321,2024-02-01 21:43:13,20.543,20.54138,20.51512,20.57022
Can Outer Diameter (mm),LH1T-42,2321,2024-02-01 21:43:13,21.005,21.00359,20.97815,21.03424
Can Max Denting (mm),LH1T-42,2321,2024-02-01 21:43:13,0.028,0.02754,0.02069,0.03963
Can Wall Thickness (mm),LH1T-42,2321,2024-02-01 21:43:13,0.231,0.23088,0.22801,0.23347
Can Circularity (Dmin/Dmax) (%),LH1T-42,2321,2024-02-01 21:43:13,99.883,99.87724,99.81099,99.97124
Can Inner Diameter (mm),LH1T-43,2322,2024-02-01 21:52:31,20.547,20.54468,20.51886,20.57527
Can Wall Thickness (mm),LH1T-43,2322,2024-02-01 21:52:31,0.231,0.23078,0.22805,0.23274
Can Max Denting (mm),LH1T-43,2322,2024-02-01 21:52:31,0.050,0.05035,0.02618,0.07481
Can Outer Diameter (mm),LH1T-43,2322,2024-02-01 21:52:31,21.008,21.00535,20.98069,21.03807
Can Circularity (Dmin/Dmax) (%),LH1T-43,2322,2024-02-01 21:52:31,99.342,99.31408,99.16659,99.77030
Can Inner Diameter (mm),LH1T-44,2323,2024-02-01 22:01:49,20.547,20.54441,20.51989,20.57398
Can Outer Diameter (mm),LH1T-44,2323,2024-02-01 22:01:49,21.008,21.00569,20.98009,21.03762
Can Max Denting (mm),LH1T-44,2323,2024-02-01 22:01:49,0.056,0.05787,0.03103,0.07573
Can Circularity (Dmin/Dmax) (%),LH1T-44,2323,2024-02-01 22:01:49,99.233,99.19658,98.95812,99.71650
Can Wall Thickness (mm),LH1T-44,2323,2024-02-01 22:01:49,0.230,0.23037,0.22773,0.23220
Can Inner Diameter (mm),LH1T-45,2324,2024-02-01 22:11:03,20.544,20.54306,20.51512,20.57252
Can Outer Diameter (mm),LH1T-45,2324,2024-02-01 22:11:03,21.005,21.00363,20.97798,21.03472
Can Max Denting (mm),LH1T-45,2324,2024-02-01 22:11:03,0.036,0.03623,0.02427,0.05047
Can Circularity (Dmin/Dmax) (%),LH1T-45,2324,2024-02-01 22:11:03,99.599,99.59476,99.45065,99.88077
Can Wall Thickness (mm),LH1T-45,2324,2024-02-01 22:11:03,0.231,0.23060,0.22819,0.23511
Can Inner Diameter (mm),LH1T-46,2325,2024-02-01 22:20:18,20.545,20.53946,20.51660,20.57561
Can Outer Diameter (mm),LH1T-46,2325,2024-02-01 22:20:18,21.009,21.00760,20.97752,21.04064
