metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (All) (mm),LH1T-41,2320,2024-02-01 21:33:57,0.569,0.55784,0.42640,0.73964
Anode Overhang (Top) (mm),LH1T-41,2320,2024-02-01 21:33:57,0.596,0.62320,0.44401,0.72179
Anode Overhang (Bottom) (mm),LH1T-41,2320,2024-02-01 21:33:57,0.542,0.52480,0.42640,0.73964
Anode Overhang (All) (mm),LH1T-42,2321,2024-02-01 21:43:13,0.571,0.57423,0.47560,0.65682
Anode Overhang (Top) (mm),LH1T-42,2321,2024-02-01 21:43:13,0.597,0.59854,0.50840,0.65682
Anode Overhang (Bottom) (mm),LH1T-42,2321,2024-02-01 21:43:13,0.545,0.54516,0.47560,0.65620
Anode Overhang (All) (mm),LH1T-43,2322,2024-02-01 21:52:31,0.565,0.56145,0.36080,0.77150
Anode Overhang (Top) (mm),LH1T-43,2322,2024-02-01 21:52:31,0.584,0.56360,0.49309,0.77150
Anode Overhang (Bottom) (mm),LH1T-43,2322,2024-02-01 21:52:31,0.546,0.56145,0.36080,0.64044
Anode Overhang (All) (mm),LH1T-44,2323,2024-02-01 22:01:49,0.557,0.55856,0.37720,0.75458
Anode Overhang (Top) (mm),LH1T-44,2323,2024-02-01 22:01:49,0.609,0.60702,0.42164,0.75458
Anode Overhang (Bottom) (mm),LH1T-44,2323,2024-02-01 22:01:49,0.508,0.50840,0.37720,0.72048
Anode Overhang (All) (mm),LH1T-45,2324,2024-02-01 22:11:03,0.561,0.54516,0.41000,0.72328
Anode Overhang (Top) (mm),LH1T-45,2324,2024-02-01 22:11:03,0.589,0.59607,0.45949,0.70596
Anode Overhang (Bottom) (mm),LH1T-45,2324,2024-02-01 22:11:03,0.532,0.52506,0.41000,0.72328
Anode Overhang (All) (mm),LH1T-46,2325,2024-02-01 22:20:18,0.563,0.55977,0.39394,0.74254
Anode Overhang (Top) (mm),LH1T-46,2325,2024-02-01 22:20:18,0.543,0.51952,0.41033,0.73873
Anode Overhang (Bottom) (mm),LH1T-46,2325,2024-02-01 22:20:18,0.582,0.59131,0.39394,0.74254
Anode Overhang (All) (mm),LH1T-47,2326,2024-02-01 22:29:38,0.558,0.55856,0.32800,0.80377
Anode Overhang (Top) (mm),LH1T-47,2326,2024-02-01 22:29:38,0.586,0.57774,0.36080,0.78737
Anode Overhang (Bottom) (mm),LH1T-47,2326,2024-02-01 22:29:38,0.529,0.54738,0.32800,0.80377
Anode Overhang (All) (mm),LH1T-48,2327,2024-02-01 22:38:56,0.563,0.55784,0.39666,0.72235
Anode Overhang (Top) (mm),LH1T-48,2327,2024-02-01 22:38:56,0.598,0.59854,0.47560,0.72179
Anode Overhang (Bottom) (mm),LH1T-48,2327,2024-02-01 22:38:56,0.527,0.52888,0.39666,0.72235
Anode Overhang (All) (mm),LH1T-49,2328,2024-02-01 22:48:09,0.573,0.57400,0.44280,0.69055
Anode Overhang (Top) (mm),LH1T-49,2328,2024-02-01 22:48:09,0.600,0.60691,0.49309,0.68958
Anode Overhang (Bottom) (mm),LH1T-49,2328,2024-02-01 22:48:09,0.545,0.54516,0.44280,0.69055
Anode Overhang (All) (mm),LH1T-50,2329,2024-02-01 22:57:20,0.558,0.55856,0.41000,0.72235
Anode Overhang (Top) (mm),LH1T-50,2329,2024-02-01 22:57:20,0.564,0.56930,0.41000,0.68958
Anode Overhang (Bottom) (mm),LH1T-50,2329,2024-02-01 22:57:20,0.553,0.55784,0.42640,0.72235
Anode Overhang (All) (mm),LH1T-51,2330,2024-02-01 23:06:32,0.565,0.57400,0.41521,0.72328
Anode Overhang (Top) (mm),LH1T-51,2330,2024-02-01 23:06:32,0.524,0.50946,0.41521,0.67260
Anode Overhang (Bottom) (mm),LH1T-51,2330,2024-02-01 23:06:32,0.607,0.61352,0.45949,0.72328
Anode Overhang (All) (mm),LH1T-52,2331,2024-02-01 23:15:45,0.559,0.55784,0.47814,0.64483
