metric,sn,scan_id,scan_processed_date,mean,median,min,max
Core Circularity (MCC) (%),LH1T-44,2323,2024-02-01 22:01:49,81.138,80.93996,78.03427,83.86040
Core Circularity (Dmin/Dmax) (%),LH1T-44,2323,2024-02-01 22:01:49,90.062,89.90054,89.58188,91.11847
Core Effective Diameter (mm),LH1T-44,2323,2024-02-01 22:01:49,3.986,3.98556,3.96498,4.01555
Core Concentricity (mm),LH1T-44,2323,2024-02-01 22:01:49,0.189,0.18339,0.15254,0.23221
Core Area (mm²),LH1T-45,2324,2024-02-01 22:11:03,12.601,12.59876,12.51162,12.72517
Core Circularity (MCC) (%),LH1T-45,2324,2024-02-01 22:11:03,83.760,83.67118,82.64395,85.00208
Core Circularity (Dmin/Dmax) (%),LH1T-45,2324,2024-02-01 22:11:03,95.298,95.29131,94.92366,95.78277
Core Concentricity (mm),LH1T-45,2324,2024-02-01 22:11:03,0.149,0.14841,0.13057,0.16650
Core Effective Diameter (mm),LH1T-45,2324,2024-02-01 22:11:03,4.005,4.00496,3.99118,4.02479
Core Area (mm²),LH1T-46,2325,2024-02-01 22:20:18,12.455,12.45836,12.38843,12.52668
Core Concentricity (mm),LH1T-46,2325,2024-02-01 22:20:18,0.092,0.08294,0.06558,0.14374
Core Effective Diameter (mm),LH1T-46,2325,2024-02-01 22:20:18,3.982,3.98310,3.97178,3.99394
Core Circularity (MCC) (%),LH1T-46,2325,2024-02-01 22:20:18,83.929,83.83713,82.22669,85.44430
Core Circularity (Dmin/Dmax) (%),LH1T-46,2325,2024-02-01 22:20:18,94.197,94.08650,92.87549,96.94669
Core Area (mm²),LH1T-47,2326,2024-02-01 22:29:38,12.580,12.58397,12.44330,12.74588
Core Circularity (MCC) (%),LH1T-47,2326,2024-02-01 22:29:38,83.746,83.83999,82.86326,84.87024
Core Circularity (Dmin/Dmax) (%),LH1T-47,2326,2024-02-01 22:29:38,95.447,95.36845,94.82980,96.53867
Core Concentricity (mm),LH1T-47,2326,2024-02-01 22:29:38,0.090,0.08916,0.05148,0.12257
Core Effective Diameter (mm),LH1T-47,2326,2024-02-01 22:29:38,4.002,4.00299,3.98043,4.02874
Core Area (mm²),LH1T-48,2327,2024-02-01 22:38:56,12.576,12.57321,12.51511,12.67434
Core Circularity (MCC) (%),LH1T-48,2327,2024-02-01 22:38:56,83.238,83.17328,82.15074,84.07502
Core Circularity (Dmin/Dmax) (%),LH1T-48,2327,2024-02-01 22:38:56,95.746,95.77650,95.21851,96.14115
Core Concentricity (mm),LH1T-48,2327,2024-02-01 22:38:56,0.094,0.09330,0.06359,0.12474
Core Effective Diameter (mm),LH1T-48,2327,2024-02-01 22:38:56,4.001,4.00103,3.99148,4.01702
Core Area (mm²),LH1T-49,2328,2024-02-01 22:48:09,12.837,12.83907,12.73284,12.98082
Core Circularity (MCC) (%),LH1T-49,2328,2024-02-01 22:48:09,84.411,84.38870,83.28249,85.54554
Core Circularity (Dmin/Dmax) (%),LH1T-49,2328,2024-02-01 22:48:09,96.353,96.01525,95.07024,99.01496
Core Concentricity (mm),LH1T-49,2328,2024-02-01 22:48:09,0.086,0.08031,0.05503,0.11877
Core Effective Diameter (mm),LH1T-49,2328,2024-02-01 22:48:09,4.043,4.04369,4.02654,4.06553
Core Area (mm²),LH1T-50,2329,2024-02-01 22:57:20,12.688,12.68752,12.61853,12.79497
Core Circularity (MCC) (%),LH1T-50,2329,2024-02-01 22:57:20,83.825,83.99577,82.72638,85.11771
Core Circularity (Dmin/Dmax) (%),LH1T-50,2329,2024-02-01 22:57:20,95.958,95.97123,94.99817,96.85073
Core Concentricity (mm),LH1T-50,2329,2024-02-01 22:57:20,0.132,0.12733,0.11072,0.15438
Core Effective Diameter (mm),LH1T-50,2329,2024-02-01 22:57:20,4.019,4.01920,4.00825,4.03617
