metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),LH1T-153,2486,2024-02-04 20:21:54,64.032,64.04201,63.86162,64.15690
Cathode Width (mm),LH1T-154,2487,2024-02-04 20:31:06,64.032,64.04247,63.89487,64.15697
Cathode Width (mm),LH1T-155,2488,2024-02-04 20:40:26,64.083,64.12400,63.92720,64.20621
Cathode Width (mm),LH1T-156,2489,2024-02-04 20:49:39,64.042,64.05875,63.89440,64.17328
Cathode Width (mm),LH1T-157,2490,2024-02-04 20:58:51,64.096,64.12400,63.92720,64.22248
Cathode Width (mm),LH1T-158,2491,2024-02-04 21:08:13,64.078,64.10762,63.87800,64.20635
Cathode Width (mm),LH1T-159,2492,2024-02-04 21:17:30,64.022,64.04205,63.87800,64.12410
Cathode Width (mm),LH1T-160,2493,2024-02-04 21:26:44,64.033,64.05840,63.87801,64.14048
Cathode Width (mm),LH1T-161,2494,2024-02-04 21:35:59,64.034,64.04254,63.89440,64.14075
Cathode Width (mm),LH1T-162,2495,2024-02-04 21:45:12,64.033,64.04230,63.91083,64.15715
Cathode Width (mm),LH1T-163,2496,2024-02-04 21:54:22,64.042,64.07481,63.84523,64.14061
Cathode Width (mm),LH1T-164,2497,2024-02-04 22:03:39,64.040,64.05840,63.87800,64.17337
Cathode Width (mm),LH1T-165,2498,2024-02-04 22:12:54,64.041,64.05841,63.86165,64.17325
Cathode Width (mm),LH1T-166,2499,2024-02-04 22:22:09,64.046,64.07480,63.89440,64.17322
Cathode Width (mm),LH1T-167,2500,2024-02-04 22:31:26,64.043,64.05863,63.89440,64.17323
Cathode Width (mm),LH1T-168,2501,2024-02-04 22:40:43,64.031,64.04201,63.86163,64.15685
Cathode Width (mm),LH1T-169,2502,2024-02-04 22:50:00,64.046,64.05850,63.87803,64.17361
Cathode Width (mm),LH1T-170,2503,2024-02-04 22:59:18,64.045,64.05924,63.91085,64.15710
Cathode Width (mm),LH1T-171,2504,2024-02-04 23:08:32,64.031,64.04241,63.87802,64.17328
Cathode Width (mm),LH1T-172,2505,2024-02-04 23:17:49,64.040,64.05850,63.86160,64.17341
Cathode Width (mm),LH1T-173,2506,2024-02-04 23:27:03,64.037,64.05848,63.91097,64.14081
Cathode Width (mm),LH1T-174,2507,2024-02-04 23:36:22,64.037,64.05840,63.87800,64.17330
Cathode Width (mm),LH1T-175,2508,2024-02-04 23:45:37,64.040,64.05841,63.86160,64.15693
Cathode Width (mm),LH1T-176,2509,2024-02-04 23:54:55,64.044,64.05840,63.87800,64.17328
Cathode Width (mm),LH1T-177,2510,2024-02-05 00:04:13,64.043,64.05853,63.87802,64.17333
Cathode Width (mm),LH1T-178,2511,2024-02-05 00:13:29,64.048,64.05887,63.87810,64.17345
Cathode Width (mm),LH1T-179,2512,2024-02-05 00:22:45,64.023,64.04202,63.84522,64.12425
Cathode Width (mm),LH1T-180,2513,2024-02-05 00:32:49,64.041,64.05840,63.87800,64.15693
